"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10074","chooseOptionMenuWithParameter","Surefire suite","2025-10-27","broken","2025-10-27","com.example.tests.demoQa.ChooseoptionTest","Surefire test","com.example.tests.demoQa.ChooseoptionTest","chooseOptionMenuWithParameter"
"","546","shouldDisplayHomePageWithValidCredentials","Surefire suite","2025-10-27","passed","2025-10-27","com.example.tests.primerSemana.LoginTest","Surefire test","com.example.tests.primerSemana.LoginTest","shouldDisplayHomePageWithValidCredentials"
"","2193","selectAlertPopUp","Surefire suite","2025-10-27","passed","2025-10-27","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","Surefire test","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","selectAlertPopUp"
"","2567","localizador","Surefire suite","2025-10-27","passed","2025-10-27","com.example.tests.primerSprintTest.localizadores.LocalizadoresTest","Surefire test","com.example.tests.primerSprintTest.localizadores.LocalizadoresTest","localizador"
"","2187","selectAlertPopUp","Surefire suite","2025-10-27","passed","2025-10-27","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","Surefire test","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","selectAlertPopUp"
"","2405","selectAlertPopUp","Surefire suite","2025-10-27","passed","2025-10-27","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","Surefire test","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","selectAlertPopUp"
"","21168","shouldValidatePriceWithAllItems","Surefire suite","2025-10-27","broken","2025-10-27","com.example.tests.segundaSemana.ValidatePriceTest","Surefire test","com.example.tests.segundaSemana.ValidatePriceTest","shouldValidatePriceWithAllItems"
"","1040","Agregar productos al carrito mediante lista y verificar que esten","Surefire suite","2025-10-27","passed","2025-10-27","com.example.tests.segundaSemana.ShoppingTest","Surefire test","com.example.tests.segundaSemana.ShoppingTest","shouldAddProductsWithTextToCart"
"","10827","addToCartItemsWithTitleOnShop","Surefire suite","2025-10-27","passed","2025-10-27","com.example.tests.sauceDemo.OrderWithTextTest","Surefire test","com.example.tests.sauceDemo.OrderWithTextTest","addToCartItemsWithTitleOnShop"
"","11865","loginConCredencialesInvalidas_muestraError","Surefire suite","2025-10-27","broken","2025-10-27","com.example.tests.primerSprintTest.alertasFrames.LoginTest","Surefire test","com.example.tests.primerSprintTest.alertasFrames.LoginTest","loginConCredencialesInvalidas_muestraError"
"","0","shouldDisplayProperErrorMessageForInvalidLoginScenarios","Surefire suite","2025-10-27","broken","2025-10-27","com.example.tests.primerSemana.LoginTest","Surefire test","com.example.tests.primerSemana.LoginTest","shouldDisplayProperErrorMessageForInvalidLoginScenarios"
"","21157","Agregar productos al carrito, verificar que esten y completar checkout","Surefire suite","2025-10-27","broken","2025-10-27","com.example.tests.segundaSemana.ShoppingTest","Surefire test","com.example.tests.segundaSemana.ShoppingTest","shouldBuyProductsSuccessfully"
"","2007","testTableComponent","Surefire suite","2025-10-27","passed","2025-10-27","com.example.tests.TableTest","Surefire test","com.example.tests.TableTest","testTableComponent"
"","595","usersLoginWithValidCredentials","Surefire suite","2025-10-27","passed","2025-10-27","com.example.tests.sauceDemo.LoginSauceTest","Surefire test","com.example.tests.sauceDemo.LoginSauceTest","usersLoginWithValidCredentials"
